,price,mileage,door/body,eng/tran,year/make/model
0,"£20,237"," 12,151 miles", 4 Door Saloon,1997cc Automatic ,2018 Jaguar XE
1,"£10,995"," 85,000 miles", 4 Door Saloon,1968cc Manual ,2014 Audi A3
2,"£17,200"," 32,279 miles", 4 Door Saloon,2000cc Automatic ,2018 BMW 3 Series
3,"£13,250"," 49,000 miles", 4 Door Saloon,2143cc Automatic ,2015 Mercedes-Benz E Class
4,"£39,030"," 7,569 miles", 4 Door Saloon,2998cc Automatic ,2019 BMW 3 Series
5,"£24,980", 16 miles, 4 Door Saloon,1332cc Manual ,2020 Mercedes-Benz A Class
6,"£19,495"," 18,221 miles", 4 Door Saloon,2993cc Automatic ,2017 BMW 3 Series
7,"£22,999"," 26,818 miles", 4 Door Saloon,2967cc Automatic ,2016 Audi A8
8,"£28,000"," 30,450 miles", 4 Door Saloon,3993cc Automatic ,2016 Audi S6
9,"£12,795"," 32,274 miles", 4 Door Saloon,1968cc Manual ,2015 Audi A3
